Nome,Preço,Data de verificação
Introdução à Programação com Python: Algoritmos e Lógica de Programação Para Iniciantes,R$ 62.10,06/04/2023
Pense em Python: Pense Como um Cientista da Computação,R$ 68.00,06/04/2023
Aprenda Python 3 do jeito certo: uma introdução muito simples ao incrível mundo dos computadores e da codificação,R$ 69.75,06/04/2023
Python: Guia prático do básico ao avançado (Cientista de dados Livro 2),R$ 0.00,06/04/2023
Jornada Python: uma Jornada Imersiva na Aplicabilidade de uma das Mais Poderosas Linguagens de Programação do Mundo (Volume 1),R$ 43.31,06/04/2023
Lógica de programação: A construção de algoritmos e estruturas de dados com aplicações em Python,R$ 69.75,06/04/2023
Data Science Do Zero: Noções Fundamentais com Python,R$ 59.90,06/04/2023
"Python Fluente: Programação Clara, Concisa e Eficaz",R$ 159.00,06/04/2023
"Python Crash Course, 2nd Edition: A Hands-On, Project-Based Introduction to Programming",R$ 213.09,06/04/2023
Entendendo Algoritmos: Um Guia Ilustrado Para Programadores e Outros Curiosos,R$ 48.00,06/04/2023
Seja um Programador Foda!: Manual para uma carreira de sucesso,R$ 0.00,06/04/2023
"Python e Mercado Financeiro: Programação Para Estudantes, Investidores e Analistas",R$ 103.60,06/04/2023
Começando a programar em Python para leigos,R$ 71.90,06/04/2023
"Projetos com Python e Arduino: Como Desenvolver Projetos Práticos de Eletrônica, Automação e Iot",R$ 31.99,06/04/2023
Código limpo: Habilidades práticas do Agile Software,R$ 76.99,06/04/2023
Python para Data Science para leigos,R$ 100.30,06/04/2023
